model,precision,recall,mAP@0.5,mAP@0.5:0.95,timestamp
yolov8s,0.5862749919040317,0.43906868462696386,0.3584427514071628,0.18456831847727342,2025-11-01_13:15:59
yolov8s,0.5856337717057207,0.5574131122305019,0.5104426215431473,0.2496665120282568,2025-11-01_14:27:25
yolov8s,0.5856337717057207,0.5574131122305019,0.5104426215431473,0.2496665120282568,2025-11-05_13:50:25
yolov8s,0.5856337717057207,0.5574131122305019,0.5104426215431473,0.2496665120282568,2025-11-05_13:51:26
yolov8s,0.5856337717057207,0.5574131122305019,0.5104426215431473,0.2496665120282568,2025-11-05_14:24:46
yolov8s,0.5856337717057207,0.5574131122305019,0.5104426215431473,0.2496665120282568,2025-11-05_15:34:56
yolov8s,0.5856337717057207,0.5574131122305019,0.5104426215431473,0.2496665120282568,2025-11-05_15:46:50
yolov8s,0.5856337717057207,0.5574131122305019,0.5104426215431473,0.2496665120282568,2025-11-05_16:39:23
yolov8s,0.5856337717057207,0.5574131122305019,0.5104426215431473,0.2496665120282568,2025-11-05_16:44:01
yolov8s,0.5856337717057207,0.5574131122305019,0.5104426215431473,0.2496665120282568,2025-11-05_16:48:10
yolov8s,0.5856337717057207,0.5574131122305019,0.5104426215431473,0.2496665120282568,2025-11-05_17:04:24
yolov8s,0.5856337717057207,0.5574131122305019,0.5104426215431473,0.2496665120282568,2025-11-05_17:10:50
